Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Enhancing diagnostic capability with multi-agents conversational large language models,"Chen, X.; Yi, H.; You, M.; Liu, W.; Wang, L.; Li, H.; Zhang, X.; Guo, Y.; Fan, L.; Chen, G.; Lao, Q.; Fu, W.; Li, K.; Li, J.","Large Language Models (LLMs) show promise in healthcare tasks but face challenges in complex medical scenarios. We developed a Multi-Agent Conversation (MAC) framework for disease diagnosis, inspired by clinical Multi-Disciplinary Team discussions. Using 302 rare disease cases, we evaluated GPT-3.5, GPT-4, and MAC on medical knowledge and clinical reasoning. MAC outperformed single models in both primary and follow-up consultations, achieving higher accuracy in diagnoses and suggested tests. Optimal performance was achieved with four doctor agents and a supervisor agent, using GPT-4 as the base model. MAC demonstrated high consistency across repeated runs. Further comparative analysis showed MAC also outperformed other methods including Chain of Thoughts (CoT), Self-Refine, and Self-Consistency with higher performance and more output tokens. This framework significantly enhanced LLMs’ diagnostic capabilities, effectively bridging theoretical knowledge and practical clinical application. Our findings highlight the potential of multi-agent LLMs in healthcare and suggest further research into their clinical implementation. © The Author(s) 2025.",2025,,npj Digital Medicine,8,1,,,10.1038/s41746-025-01550-0,,#251,Chen 2025,"",MAS with LLM-driven role-playing agents; single LLM versus multi-agent framework
KG4Diagnosis: A Hierarchical Multi-Agent LLM Framework with Knowledge Graph Enhancement for Medical Diagnosis,"Zuo, K.; Jiang, Y.; Mo, F.; Liò, P.","Integrating Large Language Models (LLMs) in healthcare diagnosis demands systematic frameworks that can handle complex medical scenarios while maintaining specialized expertise. We present KG4Diagnosis, a novel hierarchical multi-agent framework that combines LLMs with automated knowledge graph construction, encompassing 362 common diseases across medical specialties. Our framework mirrors real-world medical systems through a two-tier architecture: a general practitioner (GP) agent for initial assessment and triage, coordinating with specialized agents for in-depth diagnosis in specific domains. The core innovation lies in our end-to-end knowledge graph generation methodology, incorporating: (1) semantic-driven entity and relation extraction optimized for medical terminology, (2) multi-dimensional decision relationship reconstruction from unstructured medical texts, and (3) human-guided reasoning for knowledge expansion. KG4Diagnosis serves as an extensible foundation for specialized medical diagnosis systems, with capabilities to incorporate new diseases and medical knowledge. The framework’s modular design enables seamless integration of domain-specific enhancements, making it valuable for developing targeted medical diagnosis systems. We provide architectural guidelines and protocols to facilitate adoption across medical contexts. Copyright © 2025, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.",2025,,Proceedings of Machine Learning Research,281,,195-204,,,,#257,Zuo 2025,"",MAS with LLM-driven role-playing agents
"Empowering AI data scientists using a multi-agent LLM framework with self-evolving capabilities for autonomous, tool-aware biomedical data analyses","Bu, D.; Sun, J.; Li, K.; He, Z.; Huang, W.; Hu, J.; Zhang, S.; Lei, S.; Huo, P.; Wang, Z.; Wang, S.; Wang, T.; Gao, K.; Wu, Y.; Zhao, L.; Wang, K.; Li, G.; Song, H.; Jin, Y.; Zhang, K.; Chen, R.; Zhao, Y.","Artificial intelligence agents are emerging as powerful applications of large language models (LLMs), automating complex tasks and enabling scientific data exploration. However, their use in biomedical data analysis remains limited by the difficulty of handling specialized tools and multistep reasoning. Here we introduce BioMedAgent, a self-evolving LLM multi-agent framework, which learns to use diverse bioinformatics tools and chain them into executable workflows through interactive exploration and memory retrieval algorithms. It allows biomedical users to initiate tasks using natural language, without requiring computational expertise. Evaluated on our newly released BioMed-AQA benchmark comprising 327 biomedical data tasks, BioMedAgent achieved a 77% success rate, surpassing other LLM agents, and generalized robustly to the external BixBench dataset. Beyond benchmarks, it autonomously performs cross-omics analysis, machine-learning modelling and pathology image segmentation, highlighting its potential to advance biomedical research and extend to other scientific domains requiring complex tool integration and multistep reasoning. © The Author(s), under exclusive licence to Springer Nature Limited 2026.",2026,,Nature Biomedical Engineering,,,,,10.1038/s41551-026-01634-6,,#258,Bu 2026,"",single LLM versus multi-agent framework
Research and implementation of medical dialogue mechanism based on LLM and multi-agent collaboration,"Han, T.; Li, X.; Li, A.; Zhou, X.; Yang, Z.","To address the dual challenges of information overload and misdiagnosis risks in medical decision-making, this paper proposes a three-layer dynamic decision framework (independent layer, interaction layer, and collaboration layer), which is a structured method that integrates large language models (LLMs), multi-agent collaboration, and knowledge graphs for medical decision-making. The mechanism achieves evidence-based and traceable auxiliary diagnosis through the architecture: the independent decision layer (BERT-ESIM hybrid model parses user intent and medical environment information), the interactive decision layer (horizontal structure agent groups for parallel reasoning and conflict resolution), and the collaborative decision layer (integrating knowledge graphs and external real-time data). Tested on the CMB medical dataset, the system achieves an accuracy of 61.67% in medical exam tasks. Although this accuracy is not particularly high, it represents a significant improvement over single-model baselines, demonstrating that multi-agent reasoning enhances diagnostic reliability. The emphasis on traceable reasoning paths and visualized decision processes addresses the”black box” problem in AI-assisted diagnosis, enhancing clinical credibility. This design provides a reusable intelligent paradigm for precise decision support in complex medical scenarios. © 2025 SPIE",2025,,Proceedings of SPIE - The International Society for Optical Engineering,13974,,,,10.1117/12.3088636,,#266,Han 2025,"",LLM-driven MAS in clinical decision support; single LLM versus multi-agent framework
ClinicalAgent: Clinical Trial Multi-Agent System with Large Language Model-based Reasoning,"Yue, L.; Xing, S.; Chen, J.; Fu, T.","Large Language Models (LLMs) and multi-agent systems have shown impressive capabilities in natural language tasks but face challenges in clinical trial applications, primarily due to limited access to external knowledge. Recognizing the potential of advanced clinical trial tools that aggregate and predict based on the latest medical data, we propose an integrated solution to enhance their accessibility and utility. We introduce Clinical Agent System (ClinicalAgent), a clinical multi-agent system designed for clinical trial tasks, leveraging GPT-4, multi-agent architectures, LEAST-TO-MOST, and ReAct reasoning technology. This integration not only boosts LLM performance in clinical contexts but also introduces novel functionalities. The proposed method achieves competitive predictive performance in clinical trial outcome prediction (0.7908 PR-AUC), obtaining a 0.3326 improvement over the standard prompt Method. Publicly available code can be found at https://github.com/LeoYML/clinical-agent. © 2024 Copyright held by the owner/author(s).",2024,,"ACM-BCB 2024 - 15th ACM Conference on Bioinformatics, Computational Biology, and Health Informatics",,,,,10.1145/3698587.3701359,,#267,Yue 2024,"",LLM-driven MAS in clinical decision support
LieToMe: A Multi-Agent System for Detecting Hallucinations in Large Language Models,"Blitti, K.E.K.; Tola, F.G.; Shukla, M.; Ladva, V.; Dholakia, N.","Large Language Models (LLMs) can produce human-like responses across various domains from healthcare to history. Millions of people use those models and chatbots daily, and some use them to get responses in critical domains like healthcare, law, and so on. However, the most concerning problem found in those models is hallucination, where false, misleading, or exaggerated information is produced. Many people use the models without cross-checking the content generated by the models, which can lead to some unforeseen consequences. Guaranteeing the trustworthiness and reliability of AI systems needs to be done with the utmost caution, given the sensitive nature of some domains. In this study, we use one of the most widely used methods in recent months to detect hallucinations: an LLM-based metric. We propose a novel and unique architecture based on recent advances in the LLM field, especially the advances in agentic AI. We call it “LieToMe”, a multi-agent-based system that we believe can detect hallucinations more accurately than existing systems. It includes 3 worker agents: a Retrieval Augmented Generation agent, a Web agent, and a Domain-based agent. In this paper, the focus is on the healthcare domain, although the modularity of the system allows it to adapt to other domains like law, science, and so on. The system computes a Composite Hallucination Score (CHS) that contains weights we can vary depending on the domain. We use some state-of-the-art models to test our hallucination detection system. Good results have been achieved, constituting solid proof of concept of this method. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.",2026,,Communications in Computer and Information Science,2819 CCIS,,403-414,,10.1007/978-3-032-17834-3_29,,#269,Blitti 2026,"",MAS with LLM-driven role-playing agents; single LLM versus multi-agent framework
MedLA: A Logic-Driven Multi-Agent Framework for Complex Medical Reasoning with Large Language Models,"Ma, S.; Huang, J.; Zhang, F.; Shen, Y.; Wu, J.; Fan, G.; Zhang, Z.; Zang, Z.","Answering complex medical questions requires not only domain expertise and patient-specific information, but also structured and multi-perspective reasoning. Existing multi-agent approaches often rely on fixed roles or shallow interaction prompts, limiting their ability to detect and resolve fine-grained logical inconsistencies. To address this, we propose MEDLA, a logic-driven multi-agent framework built on large language models. Each agent organizes its reasoning process into an explicit logical tree based on syllogistic triads (major premise, minor premise, and conclusion), enabling transparent inference and premise-level alignment. Agents engage in a multi-round, graph-guided discussion to compare and itera-tively refine their logic trees, achieving consensus through error correction and contradiction resolution. We demonstrate that MEDLA consistently outperforms both static role-based systems and single-agent baselines on challenging benchmarks such as MedDDx and standard medical QA tasks. Furthermore, MEDLA scales effectively across both open-source and commercial LLM backbones, achieving state-of-the-art performance and offering a generalizable paradigm for trustworthy medical reasoning. © 2026, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.",2026,,Proceedings of the AAAI Conference on Artificial Intelligence,40,2,845-853,,10.1609/aaai.v40i2.37052,,#270,Ma 2026,"",single LLM versus multi-agent framework
MENTALER: Toward Professional Mental Health Support with LLMs via Multi-Role Collaboration,"Gu, Z.; Zhu, Q.","As mental health issues such as anxiety and depression are increasingly prevalent nowadays, we introduce MENTALER, an advanced multi-role collaboration framework specifically designed to enhance large language models (LLMs) in the diagnosis and treatment of mental health issues. In the MENTALER framework, the mental health support process comprises three specialized roles: Analyzer, Knowledge-Collector, and Strategy-Planner. Analyzer guides LLMs to achieve a in-depth diagnosis via multi-stage chain-of-thought prompting. Knowledge-Collector focus on involving domain-specific knowledge from exemplars retrieval. Strategy-Planner integrates professional support strategies into the generation process to further improve the professionalism among the generated texts. Through extensive automatic and human evaluations, we have validated that the mental health support counseling texts generated by MENTALER demonstrate a high degree of fluency and professionalism, closely aligning with real professional counseling texts. Our research advances the application of LLMs in the field of mental health support, providing an innovative and effective tool for those with psychological problems. © 2024 IEEE.",2024,,"Proceedings - 2024 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2024",,,1974-1979,,10.1109/BIBM62325.2024.10822643,,#274,Gu 2024,"",MAS with LLM-driven role-playing agents
Multi-Agent LLM Reasoning for Clinical Procedure Sequencing from High-Granularity EHR Data,"Zhong, Y.; Shi, W.; Tamo, J.B.; Nnamdi, M.C.; Yuan, Y.; Wang, M.D.","Real-world clinical decisions emerge from collaboration, yet most medical AI functions as a single expert. To better reflect clinical practice, we introduce a multi-agent framework where large language model (LLM) agents, each embodying a distinct specialty (e.g., cardiology, endocrinology), collaboratively recommend a sequence of patient procedures. Each agent reasons using a private knowledge base of domain-specific PubMed literature, a shared memory containing the patient's electronic health records (EHRs), and the history of the ongoing inter-agent discussion. We simulate two organizational models: one requiring unanimous consensus and another where a designated team leader makes the final call. Using the MIMIC-III dataset to predict procedural sequences, we show that the leader-based model consistently outperforms both the consensus and single-agent configurations, achieving higher accuracy on metrics including Mean Reciprocal Rank (MRR). Our work presents a robust and interpretable paradigm for multi-agent clinical decision support, more closely aligning AI with the collaborative nature of clinical practice. © 2025 Copyright held by the owner/author(s).",2025,,"BCB 2025 - Proceedings of the 16th ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics",,,,,10.1145/3765612.3767238,,#275,Zhong 2025,"",LLM-driven MAS in clinical decision support; MAS with LLM-driven role-playing agents
Automated Clinical Problem Detection from SOAP Notes using a Collaborative Multi-Agent LLM Architecture,"Lee, Y.; Wang, X.; Yang, C.","Interpreting clinical narratives is critical, yet single-agent LLMs are brittle and create a single point of failure. We present a collaborative MAS that models a clinical team to detect problems using only S+O - enforcing inference rather than A/P keyword lookup. © 2025 Copyright held by the owner/author(s).",2025,,"BCB 2025 - Proceedings of the 16th ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics",,,,,10.1145/3765612.3767792,,#276,Lee 2025,"",LLM-driven MAS in clinical decision support; single LLM versus multi-agent framework
Evaluation of Multi-Agent LLMs in Multidisciplinary Team Decision-Making for Challenging Cancer Cases,"Kim, J.; Lee, B.; Sohn, K.-A.; Kim, D.; Chan Lee, Y.","This study explores the potential of large language model (LLM) agents in real-world clinical decision-making, focusing on their alignment with human experts in cancer multidisciplinary team (MDT) meetings. While LLMs perform well on benchmark medical question answering tasks, these evaluations often oversimplify the open-ended, multifaceted nature of actual clinical decisions. In practice, MDTs require balancing diverse expert opinions and multiple valid treatment options. Using real MDT meeting data, we compare different LLM approaches including single-agent and multi-agent systems to assess their ability to replicate consensus-based decisions. Our findings indicate that multi-agent, conversation-based systems, which assign specialized roles and facilitate dynamic inter-agent conversation, better align with human expert decisions in our data. Overall, this work highlights the potential practical utility of LLM agents in complex clinical settings and lays the groundwork for their future integration as decision support tools in multidisciplinary medical contexts. Our code is available at https://github.com/leebyounghan/eval-multi-agent-MDT © 2025 J. Kim, B. Lee, K.-A. Sohn, D. Kim & Y.C. Lee.",2025,,Proceedings of Machine Learning Research,298,,,,,,#279,Kim 2025,"",LLM-driven MAS in clinical decision support
Fine-Tuned Mistral Model for Multi-Agent Mental Health Counseling System,"Patel, A.; Lohumi, P.; Shah, V.; Dash, M.; Arya, M.S.","In today’s digital world, mental health issues such as stress, depression, and anxiety are often expressed through social media. We propose a multi-agent system utilizing the fine-tuned Mistral-7B model to detect and provide personalized counseling for mental health concerns. This paper discusses the development and deployment of a multi-agent system consisting of diagnostic and counseling agents. By fine-tuning Mistral with the Interpretable Mental Health Instruction (IMHI) dataset, the system offers personalized mental health support, improving scalability and accessibility to mental health services. ©2025 IEEE.",2025,,"Proceedings - 2025 11th International Conference on Computing and Artificial Intelligence, ICCAI 2025",,,317-324,,10.1109/ICCAI66501.2025.00056,,#280,Patel 2025,"",MAS with mental health
SynthAgent: A Multi-Agent LLM Framework for Realistic Patient Simulation--A Case Study in Obesity with Mental Health Comorbidities,"Aghaee, A; Asgarian, S; Jeon, J","… Multi-Agent System (MAS) designed to simulate realistic patients in obesity research. The MAS … , and comorbidity histories derived from medical claims, along with insights from clinical …",2026,//,arXiv preprint arXiv:2602.08254,,Query date: 2026-04-30 09:41:54,,,,,#294,Aghaee 2026,"",MAS with LLM-driven role-playing agents; MAS with mental health
LLM-Based Multi-Agent System with Retrieval-Augmented Generation for Medical Care Planning Generation in Sickle Cell Disease,"Leite, LB; Pereira, DE; ...","… For these reasons, this research investigates the effectiveness of LLM-based MAS for medical care plan generation in SCD, enhanced by RAG techniques. It combines quantitative …",2026,//,Proceedings of the …,,Query date: 2026-04-30 09:41:54,,,,,#298,Leite 2026,"",Awaiting classification
Evaluating Multi-Agent LLM Architectures for Rare Disease Diagnosis,"Almasoud, A","… , researchers are increasingly turning toward Multi-Agent Systems (MAS). These architectures … Furthermore, theoretical advancements in the general domain suggest that multi-agent …",2026,//,arXiv preprint arXiv:2603.06856,,Query date: 2026-04-30 09:41:54,,,,,#314,Almasoud 2026,"",Awaiting classification
A Multi-Agent Large Language Model Framework that Simulates a Multidisciplinary Tumor Board for Hepatocellular Carcinoma Management,"Giuffrè, M; Ma, F; Visintin, A; Fusaro, L; Gulotta, M; ...","… This study aimed to develop and evaluate a multi-agent LLM … We developed a multi-agent LLM architecture composed of … guidelines, multi-agent without guidelines and multi-agent with …",2026,//,Digestive and Liver …,,Query date: 2026-04-30 09:41:54,,,,,#325,Giuffrè 2026,"",Awaiting classification
Medsentry: Understanding and mitigating safety risks in medical llm multi-agent systems,"Chen, K; Zhen, T; Wang, H; Liu, K; Li, X; Huo, J; ...","… multi-agent architectures are particularly well-suited to addressing the complexity of medical … In medical multi-agent systems (MAS), each LLM is assigned a specific clinical expert role—…",2025,//,arXiv preprint arXiv …,,Query date: 2026-04-30 09:41:5423 cites: https://scholar.google.com/scholar?cites=15198550002933475235&as_sdt=2005&sciodt=2007&hl=en,,,,,#332,Chen 2025,"",Awaiting classification
Multiagentesc: A llm-based multi-agent collaboration framework for emotional support conversation,"Xu, Y; Hu, J; Zhao, Z; Duan, Z; Sun, X; ...","… Therefore, in this paper, we propose a multiagent … evaluated and chosen through multi-agent debate and cooperation. In … between two multi-agent system (MAS) approaches utilizing …",2025,//,Proceedings of the 2025 …,,Query date: 2026-04-30 09:41:5413 cites: https://scholar.google.com/scholar?cites=9951758799150014699&as_sdt=2005&sciodt=2007&hl=en,,,,,#340,Xu 2025,"",MAS with mental health
AI psychiatrist assistant: an LLM-based multi-agent system for depression assessment from clinical interviews,"Greene, A; Blair, N; Aghabagher, SM; ...","… the semantic meaning behind medical text and automate clinical workflows through collaborative agents. Here, we propose an LLM-based multi-agent system to diagnose depression …",2025,//,… Learning for Health …,,Query date: 2026-04-30 09:41:541 cites: https://scholar.google.com/scholar?cites=9744014396374484881&as_sdt=2005&sciodt=2007&hl=en,,,,,#363,Greene 2025,"",MAS with mental health
Mdteamgpt: A self-evolving llm-based multi-agent framework for multi-disciplinary team medical consultation,"Chen, K; Li, X; Yang, T; Wang, H; Dong, W; ...",… We propose a multi-agent MDT medical consultation framework based on LLMs to address … and a residual discussion structure for multi-round consultations. It also employs a Correct …,2025,//,arXiv preprint arXiv …,,Query date: 2026-04-30 09:41:5437 cites: https://scholar.google.com/scholar?cites=4285179905073799067&as_sdt=2005&sciodt=2007&hl=en,,,,,#380,Chen 2025,"",Awaiting classification
A Survey of LLM-based Multi-agent Systems in Medicine,"Lin, Y; Xu, S; Zhang, W; Sun, Y; Chen, Z; Zhang, Y; ...","… medical problem-solving. In this paper, we conduct a comprehensive survey of existing medical multi-agent systems, and propose a medical-… expertise and multi-agent reasoning jointly …",2025,//,,,Query date: 2026-04-30 09:41:545 cites: https://scholar.google.com/scholar?cites=5483364753767602458&as_sdt=2005&sciodt=2007&hl=en,,,,,#383,Lin 2025,"",MAS survey
A survey on llm-based multi-agent ai hospital,"Yao, Z; Yu, H","… agent-driven multi-agent systems based on large language models (LLMs) to automate and optimize medical … To the best of our knowledge, no existing multi-agent healthcare survey [39…",2025,//,OSF,,Query date: 2026-04-30 09:41:5419 cites: https://scholar.google.com/scholar?cites=2396312850728646420&as_sdt=2005&sciodt=2007&hl=en,,,,,#385,Yao 2025,"",""
DDO: Dual-decision optimization for LLM-based medical consultation via multi-agent collaboration,"Jia, Z; Jia, M; Duan, J; Wang, J","… LLM-based multi-agent collaborative framework designed to address the mismatch between existing LLM-based methods and the dual-decision nature of medical consultation (MC), …",2025,//,Proceedings of the 2025 …,,Query date: 2026-04-30 09:41:547 cites: https://scholar.google.com/scholar?cites=2970287486263602110&as_sdt=2005&sciodt=2007&hl=en,,,,,#391,Jia 2025,"",Awaiting classification
Reliable decision-making for multi-agent llm systems,"Lee, XY; Akatsuka, S; Vidyaratne, L; Kumar, A; ...","… Based on the results shown, we can see that Majority Voting and Decentralized architectures are strong candidates that can result in reliable multi-agent systems. However, one major …",2025,//,arXiv preprint arXiv …,,Query date: 2026-04-30 09:41:546 cites: https://scholar.google.com/scholar?cites=18283021487206448052&as_sdt=2005&sciodt=2007&hl=en,,,,,#404,Lee 2025,"",LLM-driven MAS in clinical decision support
DialogGuard: Multi-Agent Psychosocial Safety Evaluation of Sensitive LLM Responses,"Luo, H; Laban, G","… Using PKU-SafeRLHF with human safety annotations, we show that multiagent mechanisms detect psychosocial risks more accurately than non-LLM baselines and single-agent judging…",2025,//,arXiv preprint arXiv:2512.02282,,Query date: 2026-04-30 09:41:545 cites: https://scholar.google.com/scholar?cites=3816035722324530531&as_sdt=2005&sciodt=2007&hl=en,,,,,#406,Luo 2025,"",MAS with mental health; single LLM versus multi-agent framework
Ehrflow: A large language model-driven iterative multi-agent electronic health record data analysis workflow,"…; Wang, Y; Pan, C; Harrison, EM; Gao, J; Ma, L","… Aiming to address these challenges, we introduce EHRFlow, an iterative multi-agent system supported by LLMs, designed to serve for physicians’ diverse EHR analysis requirements in …",2024,//,… for Healthcare …,,Query date: 2026-04-30 09:41:548 cites: https://scholar.google.com/scholar?cites=7635395235921378132&as_sdt=2005&sciodt=2007&hl=en,,,,,#465,… 2024,"",Awaiting classification
Drugagent: Automating ai-aided drug discovery programming through llm multi-agent collaboration,"Liu, S; Lu, Y; Chen, S; Hu, X; Zhao, J; ...","… We introduce DrugAgent, a multi-agent LLM framework that unifies ML programming with biomedical expertise to address the demands of modern drug discovery. First, DrugAgent …",2024,//,arXiv preprint arXiv …,,Query date: 2026-04-30 09:41:5468 cites: https://scholar.google.com/scholar?cites=9777641397389340960&as_sdt=2005&sciodt=2007&hl=en,,,,,#486,Liu 2024,"",Awaiting classification
